# Histogram Data - CPM Distribution
# ====================================
# Inferred from https://typing-speed-test.aoeu.eu/
# Date: 2025-10-22
# Estimated total sample size: ~1,000 people
# Median: 219 CPM
# Peak frequency: 3.9% at 170 CPM (~39 people)
#
# Columns:
#   CPM: Counts per minute (bin center)
#   Frequency_%: Percentage of people in this bin
#   Cumulative_%: Cumulative percentage up to this bin
#   Count: Estimated number of people (based on N=1000)
#
# Note: "<0.1" values represent less than 0.1% (0-1 people)
CPM,Count,Frequency_%,Cumulative_%
30,0,<0.1,0
40,0,<0.1,0
50,3,0.3,1
60,8,0.8,1
70,12,1.2,3
80,14,1.4,4
90,18,1.8,6
100,22,2.2,8
110,26,2.6,11
120,29,2.9,14
130,33,3.3,17
140,36,3.6,21
150,37,3.7,24
160,38,3.8,28
170,39,3.9,32
180,38,3.8,36
190,38,3.8,40
200,37,3.7,43
210,36,3.6,47
220,35,3.5,50
230,33,3.3,54
240,32,3.2,57
250,30,3.0,60
260,29,2.9,63
270,27,2.7,66
280,26,2.6,68
290,25,2.5,71
300,23,2.3,73
310,22,2.2,75
320,21,2.1,77
330,20,2.0,79
340,19,1.9,81
350,17,1.7,83
360,16,1.6,84
370,15,1.5,86
380,14,1.4,87
390,13,1.3,89
400,12,1.2,90
410,11,1.1,91
420,10,1.0,92
430,9,0.9,93
440,9,0.9,94
450,8,0.8,94
460,7,0.7,95
470,6,0.6,96
480,6,0.6,96
490,5,0.5,97
500,5,0.5,97
510,4,0.4,98
520,4,0.4,98
530,3,0.3,98
540,3,0.3,99
550,2,0.2,99
560,2,0.2,99
570,2,0.2,99
580,0,<0.1,99
590,0,<0.1,99
600,0,<0.1,100
610,0,<0.1,100
620,0,<0.1,100
630,0,<0.1,100
640,0,<0.1,100
650,0,<0.1,100
660,0,<0.1,100
670,0,<0.1,100
680,0,<0.1,100
690,0,<0.1,100
700,0,<0.1,100
